Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,306-1-3,1,3,GH,1,11,3.85,
SPECTRA_W23,306-1-3,1,3,GH,1,12,3.7,
SPECTRA_W23,306-1-3,1,3,GH,1,13,3.34,
SPECTRA_W23,306-1-3,1,3,GH,1,14,5.22,
SPECTRA_W23,306-1-3,1,3,GH,1,15,3.1,
SPECTRA_W23,306-1-3,1,3,GH,1,16,4.84,
SPECTRA_W23,306-1-3,1,3,GH,1,17,3.12,
SPECTRA_W23,306-1-3,1,3,GH,1,18,4.27,
SPECTRA_W23,306-1-3,1,3,GH,1,19,3.86,
SPECTRA_W23,306-1-3,1,3,GH,1,20,3.29,
SPECTRA_W23,306-1-3,1,3,GH,1,21,4.28,
SPECTRA_W23,306-1-3,1,3,GH,1,22,2.96,
SPECTRA_W23,306-1-3,1,3,GH,1,23,3.67,
SPECTRA_W23,306-1-3,1,3,GH,1,24,9.49,
SPECTRA_W23,306-1-3,1,3,GH,1,25,3.8,
SPECTRA_W23,306-1-3,1,3,GH,1,26,4.24,
,,,,,,,,
SPECTRA_W23,306-1-4,1,4,GH,1,1,NA ,damaged
SPECTRA_W23,306-1-4,1,4,GH,1,2,10.62,post-flexion
SPECTRA_W23,306-1-4,1,4,GH,1,3,4.3,
SPECTRA_W23,306-1-4,1,4,GH,1,4,3.35,
SPECTRA_W23,306-1-4,1,4,GH,1,5,3.8,
SPECTRA_W23,306-1-4,1,4,GH,1,6,3.54,
SPECTRA_W23,306-1-4,1,4,GH,1,7,3.95,
SPECTRA_W23,306-1-4,1,4,GH,1,8,4.06,
SPECTRA_W23,306-1-4,1,4,GH,1,9,5.96,
SPECTRA_W23,306-1-4,1,4,GH,1,10,3.73,
SPECTRA_W23,306-1-4,1,4,GH,1,11,3.07,
