mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,38,3.97,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,39,4.77,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,40,3.81,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,41,3.1,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,42,3.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,43,4.17,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,44,4.74,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,45,4.33,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,46,3.75,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,47,4.24,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,48,3.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,49,3.44,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,50,4.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,51,4.62,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,52,3.96,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,53,3.03,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,54,3.84,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,55,3.78,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,56,3.03,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,57,3.72,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,58,3.82,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,59,3.49,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,60,3.21,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,61,4.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,62,3.37,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,63,5.04,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,64,4.05,
