Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,6.09,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,9.2,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,6.49,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.01,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,6.23,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,5.83,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,3.32,
,,,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9.21,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,8.67,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,12.53,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,10.74,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,8.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,8.34,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,7.27,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,8.46,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9.24,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,11.43,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,10.18,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,10.62,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9.96,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,6.83,
